Max RR,Rs,BE,Streak,Session_Asian,Session_London,Hypothetical_Balance,PRI
4.9,,-1,-1,False,True,0.0,0
6.07,,-1,-2,False,True,-6070.0,1
8.25,,-1,-3,False,True,-14320.0,2
4.3,,1,1,False,True,-10020.0,1
1.81,,1,2,False,True,-8210.0,1
5.75,,1,3,False,True,-2460.0,2
3.67,,1,4,False,True,1210.0,2
45.8,,-1,-1,False,True,-44590.0,1
4.12,,-1,-2,False,True,-48710.0,2
3.0,,-1,-3,False,True,-51710.0,2
6.25,L,1,1,False,True,-45460.0,1
1.62,L,1,2,True,False,-43840.0,0
8.78,W,1,3,True,False,-35060.0,1
3.36,,-1,-1,True,False,-38420.0,0
7.27,,1,1,True,False,-31150.0,0
10.65,W,1,2,True,False,-20500.0,0
4.48,W,1,3,True,False,-16020.0,1
4.7,,1,4,True,False,-11320.0,1
10.88,,1,5,False,True,-440.0,2
4.21,,1,6,False,True,3770.0,2
5.61,,1,7,False,True,9380.0,2
7.55,,-1,-1,False,True,1830.0,1
15.67,,-1,-2,False,True,-13840.0,1
16.65,,1,1,False,True,2810.0,1
9.43,,1,2,False,True,12240.0,1
14.24,L,1,3,False,True,26480.0,2
5.57,,-1,-1,False,True,20910.0,1
6.62,W,1,1,False,True,27530.0,1
0.54,,-1,-1,True,False,26990.0,0
21.77,W,1,1,True,False,48760.0,0
5.97,W,1,2,False,True,54730.0,1
3.21,,1,3,True,False,57940.0,1
15.12,?,1,4,True,False,73060.0,1
0.0,L,-1,-1,False,True,73060.0,1
3.988095,L,-1,-2,False,True,69071.905,1
